# CSV-File created with merge-csv.com
# -----------------------------------------------------------

"Отметка времени","Вы даете информированное согласие на участие в эксперименте и сбор данных в анонимном и обобщенном виде?","Проявляете ли вы интерес к политике?","Просматриваете ли вы федеральное ТВ?","Пожалуйста, укажите основные источники медиа-контента, из которых вы потребляете новости.","Оцените по шкале от 1 до 5, насколько вы доверяете (1 – совершенно не доверяю, 5 – полностью доверяю) следующим средствам массовой информации: [Федеральным телеканалам]","Оцените по шкале от 1 до 5, насколько вы доверяете (1 – совершенно не доверяю, 5 – полностью доверяю) следующим средствам массовой информации: [Telegram-каналам]","Оцените по шкале от 1 до 5, насколько вы доверяете (1 – совершенно не доверяю, 5 – полностью доверяю) следующим средствам массовой информации: [Социальным сетям и блогам в интернете]","Оцените по шкале от 1 до 5, насколько вы доверяете (1 – совершенно не доверяю, 5 – полностью доверяю) следующим средствам массовой информации: [Месcенджерам]","Оцените по шкале от 1 до 5, насколько вы доверяете (1 – совершенно не доверяю, 5 – полностью доверяю) [Правительство РФ]","Оцените по шкале от 1 до 5, насколько вы доверяете (1 – совершенно не доверяю, 5 – полностью доверяю) [Президент РФ]","Оцените по шкале от 1 до 5, насколько вы доверяете (1 – совершенно не доверяю, 5 – полностью доверяю) [Парламент РФ]","Доверяете ли вы данной статье?","Пожалуйста, укажите ваш возраст.","Пожалуйста, укажите ваш пол.","Пожалуйста, укажите уровень вашего образования.","Пожалуйста, укажите субъект РФ, в котором вы проживаете.","Пожалуйста, укажите размер населённого пункта, в котором вы проживаете.","Пожалуйста, укажите ваш доход. Это необходимо только для статистики."
"2025/10/20 8:09:48 AM GMT+8","Да","4","Иногда","Интернет — новостные, аналитические, официальные сайты","Скорее доверяю","Не уверен(а)","Скорее не доверяю","Совершенно не доверяю","Полностью доверяю","Полностью доверяю","Полностью доверяю","4","22","Женский","Высшее(бакалавриат/специалитет)","Иркутская область","Крупный город(от 250 тыс. до 1 млн. чел)","Могу без труда приобретать крупную бытовую технику, но покупка нового легкового автомобиля затруднительна."
"2025/10/20 8:56:13 AM GMT+8","Да","3","Иногда","Интернет — новостные, аналитические, официальные сайты","Не уверен(а)","Не уверен(а)","Скорее не доверяю","Скорее не доверяю","Скорее не доверяю","Не уверен(а)","Скорее не доверяю","4","49","Женский","Высшее(бакалавриат/специалитет)","Иркутская область","Малый город(до 50 тыс. чел)","На продукты денег хватает, но покупка одежды вызывает затруднения."
"2025/10/20 3:31:09 PM GMT+8","Да","5","Часто","Телевидение;Интернет — новостные, аналитические, официальные сайты","Скорее доверяю","Не уверен(а)","Не уверен(а)","Не уверен(а)","Скорее доверяю","Скорее доверяю","Скорее доверяю","6","59","Женский","Высшее(магистратура)","Иркутская область","Сельский населенный пункт(Деревня, поселок, село, станица и т.д.)","Денег хватает на покупку продуктов и одежды, но покупка крупной бытовой техники вызывает затруднения."
"2025/10/21 5:55:10 AM GMT+8","Да","3","Редко","Интернет — социальные сети, блоги;Мессенджеры","Скорее доверяю","Не уверен(а)","Скорее не доверяю","Скорее не доверяю","Не уверен(а)","Не уверен(а)","Не уверен(а)","5","16","Женский","Среднее основное(9 классов)","Республика Татарстан","Город-миллионник(более 1 млн. чел.)","Хватает доходов на новый легковой автомобиль, но покупка недвижимости затруднительна."
"2025/10/22 6:24:07 PM GMT+8","Да","3","Никогда","Интернет — новостные, аналитические, официальные сайты","Совершенно не доверяю","Не уверен(а)","Не уверен(а)","Не уверен(а)","Не уверен(а)","Скорее доверяю","Скорее не доверяю","2","36","Женский","Высшее(бакалавриат/специалитет)","Амурская область","Средний город(от 50 тыс. до 100 тыс. чел.)","Денег хватает на покупку продуктов и одежды, но покупка крупной бытовой техники вызывает затруднения."
"2025/10/22 6:45:03 PM GMT+8","Да","5","Иногда","Интернет — новостные, аналитические, официальные сайты;Интернет — социальные сети, блоги","Совершенно не доверяю","Скорее не доверяю","Скорее не доверяю","Скорее не доверяю","Совершенно не доверяю","Совершенно не доверяю","Совершенно не доверяю","1","28","Мужской","Высшее(магистратура)","Иркутская область","Крупный город(от 250 тыс. до 1 млн. чел)","Могу без труда приобретать крупную бытовую технику, но покупка нового легкового автомобиля затруднительна."
"2025/10/22 6:50:29 PM GMT+8","Да","4","Часто","Телевидение;Интернет — социальные сети, блоги","Скорее доверяю","Не уверен(а)","Не уверен(а)","Не уверен(а)","Скорее доверяю","Скорее доверяю","Скорее доверяю","3","65","Женский","Среднее профессиональное","Иркутская область","Средний город(от 50 тыс. до 100 тыс. чел.)","Денег хватает на покупку продуктов и одежды, но покупка крупной бытовой техники вызывает затруднения."
"2025/10/22 9:09:39 PM GMT+8","Да","2","Редко","Интернет — социальные сети, блоги;Мессенджеры","Скорее доверяю","Не уверен(а)","Не уверен(а)","Скорее доверяю","Полностью доверяю","Полностью доверяю","Полностью доверяю","7","14","Женский","Среднее основное(9 классов)","Иркутская область","Средний город(от 50 тыс. до 100 тыс. чел.)","Денег хватает на покупку продуктов и одежды, но покупка крупной бытовой техники вызывает затруднения."
"2025/10/22 10:16:47 PM GMT+8","Да","4","Часто","Телевидение;Интернет — новостные, аналитические, официальные сайты;Интернет — социальные сети, блоги","Скорее доверяю","Не уверен(а)","Скорее не доверяю","Совершенно не доверяю","Скорее доверяю","Скорее доверяю","Скорее доверяю","6","18","Женский","Высшее(бакалавриат/специалитет)","Свердловская область","Город-миллионник(более 1 млн. чел.)","Денег хватает на покупку продуктов и одежды, но покупка крупной бытовой техники вызывает затруднения.""2025/10/16 3:39:06 PM GMT+8","Да","5","Редко","Интернет — новостные, аналитические, официальные сайты;Интернет — социальные сети, блоги;Мессенджеры","Совершенно не доверяю","Не уверен(а)","Не уверен(а)","Не уверен(а)","Совершенно не доверяю","Совершенно не доверяю","Совершенно не доверяю","6","18","Мужской","Среднее общее(11 классов)","Новосибирская область","Город-миллионник(более 1 млн. чел.)","Денег хватает на покупку продуктов и одежды, но покупка крупной бытовой техники вызывает затруднения."
"2025/10/16 3:47:25 PM GMT+8","Да","5","Редко","Интернет — социальные сети, блоги","Совершенно не доверяю","Не уверен(а)","Скорее доверяю","Скорее доверяю","Совершенно не доверяю","Совершенно не доверяю","Совершенно не доверяю","7","18","Женский","Среднее профессиональное","Республика Татарстан","Город-миллионник(более 1 млн. чел.)","На продукты денег хватает, но покупка одежды вызывает затруднения."
"2025/10/16 3:48:00 PM GMT+8","Да","5","Никогда","Интернет — новостные, аналитические, официальные сайты;Интернет — социальные сети, блоги;Мессенджеры","Совершенно не доверяю","Скорее доверяю","Скорее доверяю","Скорее доверяю","Совершенно не доверяю","Совершенно не доверяю","Совершенно не доверяю","7","18","Не скажу","Неоконченное высшее","Москва","Город-миллионник(более 1 млн. чел.)","Денег хватает на покупку продуктов и одежды, но покупка крупной бытовой техники вызывает затруднения."
"2025/10/16 3:48:10 PM GMT+8","Да","5","Никогда","Интернет — новостные, аналитические, официальные сайты;Интернет — социальные сети, блоги","Совершенно не доверяю","Скорее доверяю","Скорее не доверяю","Не уверен(а)","Скорее не доверяю","Скорее не доверяю","Скорее не доверяю","5","18","Женский","Неоконченное высшее","Новосибирская область","Город-миллионник(более 1 млн. чел.)","Могу без труда приобретать крупную бытовую технику, но покупка нового легкового автомобиля затруднительна."
"2025/10/16 3:53:58 PM GMT+8","Да","4","Никогда","Интернет — новостные, аналитические, официальные сайты;Интернет — социальные сети, блоги;Мессенджеры","Совершенно не доверяю","Не уверен(а)","Скорее доверяю","Не уверен(а)","Скорее доверяю","Совершенно не доверяю","Совершенно не доверяю","4","18","Женский","Неоконченное высшее","Москва","Город-миллионник(более 1 млн. чел.)","Денег хватает на покупку продуктов и одежды, но покупка крупной бытовой техники вызывает затруднения."
"2025/10/16 4:05:53 PM GMT+8","Да","2","Никогда","Интернет — новостные, аналитические, официальные сайты;Интернет — социальные сети, блоги","Совершенно не доверяю","Скорее доверяю","Не уверен(а)","Скорее не доверяю","Не уверен(а)","Не уверен(а)","Не уверен(а)","5","17","Женский","Среднее основное(9 классов)","Иркутская область","Крупный город(от 250 тыс. до 1 млн. чел)","Могу без труда приобретать крупную бытовую технику, но покупка нового легкового автомобиля затруднительна."
"2025/10/16 4:07:18 PM GMT+8","Да","3","Редко","Интернет — социальные сети, блоги;Мессенджеры","Скорее не доверяю","Скорее доверяю","Не уверен(а)","Скорее доверяю","Не уверен(а)","Не уверен(а)","Не уверен(а)","7","19","Женский","Высшее(бакалавриат/специалитет)","Омская область","Город-миллионник(более 1 млн. чел.)","Денег хватает на покупку продуктов и одежды, но покупка крупной бытовой техники вызывает затруднения."
"2025/10/16 4:08:08 PM GMT+8","Да","2","Часто","Телевидение;Мессенджеры","Скорее доверяю","Не уверен(а)","Скорее не доверяю","Скорее не доверяю","Скорее доверяю","Скорее доверяю","Скорее доверяю","4","17","Женский","Среднее общее(11 классов)","Забайкальский край","Средний город(от 50 тыс. до 100 тыс. чел.)","Денег хватает на покупку продуктов и одежды, но покупка крупной бытовой техники вызывает затруднения."
"2025/10/16 4:12:43 PM GMT+8","Да","2","Никогда","Интернет — новостные, аналитические, официальные сайты;Интернет — социальные сети, блоги;Мессенджеры","Совершенно не доверяю","Скорее доверяю","Скорее доверяю","Скорее не доверяю","Совершенно не доверяю","Совершенно не доверяю","Не уверен(а)","7","18","Женский","Неоконченное высшее","Республика Татарстан","Город-миллионник(более 1 млн. чел.)","На продукты денег хватает, но покупка одежды вызывает затруднения."
"2025/10/16 4:17:37 PM GMT+8","Да","4","Редко","Интернет — новостные, аналитические, официальные сайты;Интернет — социальные сети, блоги;Мессенджеры","Скорее не доверяю","Скорее не доверяю","Не уверен(а)","Совершенно не доверяю","Скорее доверяю","Скорее доверяю","Скорее не доверяю","3","17","Мужской","Среднее основное(9 классов)","Иркутская область","Малый город(до 50 тыс. чел)","Денег хватает на покупку продуктов и одежды, но покупка крупной бытовой техники вызывает затруднения."
"2025/10/16 4:22:16 PM GMT+8","Да","2","Редко","Интернет — социальные сети, блоги;Мессенджеры","Скорее доверяю","Скорее доверяю","Скорее доверяю","Скорее доверяю","Не уверен(а)","Скорее доверяю","Не уверен(а)","5","17","Женский","Среднее общее(11 классов)","Самарская область","Крупный город(от 250 тыс. до 1 млн. чел)","На продукты денег хватает, но покупка одежды вызывает затруднения."
"2025/10/16 4:33:41 PM GMT+8","Да","5","Никогда","Интернет — социальные сети, блоги;Мессенджеры","Не уверен(а)","Скорее доверяю","Скорее доверяю","Не уверен(а)","Не уверен(а)","Не уверен(а)","Не уверен(а)","5","18","Женский","Высшее(бакалавриат/специалитет)","Тамбовская область","Крупный город(от 250 тыс. до 1 млн. чел)","Могу без труда приобретать крупную бытовую технику, но покупка нового легкового автомобиля затруднительна."
"2025/10/16 5:05:52 PM GMT+8","Да","1","Никогда","Мессенджеры","Совершенно не доверяю","Совершенно не доверяю","Совершенно не доверяю","Совершенно не доверяю","Не уверен(а)","Полностью доверяю","Полностью доверяю","7","18","Мужской","Неоконченное высшее","Нижегородская область","Город-миллионник(более 1 млн. чел.)","Материальных затруднений не испытываю."
"2025/10/16 5:25:27 PM GMT+8","Да","2","Редко","Интернет — социальные сети, блоги;Мессенджеры","Скорее не доверяю","Не уверен(а)","Скорее доверяю","Скорее доверяю","Скорее доверяю","Скорее доверяю","Скорее доверяю","5","18","Женский","Среднее общее(11 классов)","Новосибирская область","Город-миллионник(более 1 млн. чел.)","Денег хватает на покупку продуктов и одежды, но покупка крупной бытовой техники вызывает затруднения."
"2025/10/16 5:38:00 PM GMT+8","Да","5","Редко","Интернет — новостные, аналитические, официальные сайты;Интернет — социальные сети, блоги","Совершенно не доверяю","Скорее доверяю","Не уверен(а)","Полностью доверяю","Полностью доверяю","Полностью доверяю","Полностью доверяю","6","17","Женский","Неоконченное высшее","Москва","Город-миллионник(более 1 млн. чел.)","Материальных затруднений не испытываю."
"2025/10/16 5:51:16 PM GMT+8","Да","3","Иногда","Телевидение;Интернет — новостные, аналитические, официальные сайты;Интернет — социальные сети, блоги","Скорее доверяю","Скорее доверяю","Скорее не доверяю","Не уверен(а)","Скорее не доверяю","Скорее не доверяю","Скорее не доверяю","4","17","Женский","Среднее общее(11 классов)","Ростовская область","Город-миллионник(более 1 млн. чел.)","Материальных затруднений не испытываю."
"2025/10/16 5:57:20 PM GMT+8","Да","4","Никогда","Мессенджеры","Скорее не доверяю","Не уверен(а)","Скорее не доверяю","Скорее не доверяю","Скорее доверяю","Полностью доверяю","Скорее доверяю","5","18","Мужской","Неоконченное высшее","Краснодарский край","Средний город(от 50 тыс. до 100 тыс. чел.)","Денег хватает на покупку продуктов и одежды, но покупка крупной бытовой техники вызывает затруднения."
"2025/10/16 6:08:07 PM GMT+8","Да","4","Никогда","Интернет — социальные сети, блоги;Мессенджеры","Совершенно не доверяю","Скорее доверяю","Скорее доверяю","Скорее не доверяю","Совершенно не доверяю","Совершенно не доверяю","Совершенно не доверяю","5","18","Женский","Неоконченное высшее","Республика Татарстан","Город-миллионник(более 1 млн. чел.)","Могу без труда приобретать крупную бытовую технику, но покупка нового легкового автомобиля затруднительна."
"2025/10/16 6:15:57 PM GMT+8","Да","2","Иногда","Телевидение;Интернет — социальные сети, блоги","Скорее доверяю","Не уверен(а)","Не уверен(а)","Скорее доверяю","Полностью доверяю","Полностью доверяю","Полностью доверяю","7","18","Женский","Высшее(бакалавриат/специалитет)","Ростовская область","Город-миллионник(более 1 млн. чел.)","Материальных затруднений не испытываю."
"2025/10/16 6:35:42 PM GMT+8","Да","3","Иногда","Интернет — социальные сети, блоги;Мессенджеры","Не уверен(а)","Скорее доверяю","Не уверен(а)","Не уверен(а)","Полностью доверяю","Полностью доверяю","Полностью доверяю","4","17","Женский","Высшее(бакалавриат/специалитет)","Ростовская область","Город-миллионник(более 1 млн. чел.)","Материальных затруднений не испытываю."
"2025/10/16 6:51:45 PM GMT+8","Да","3","Никогда","Интернет — социальные сети, блоги;Мессенджеры","Совершенно не доверяю","Скорее доверяю","Не уверен(а)","Не уверен(а)","Скорее доверяю","Совершенно не доверяю","Скорее не доверяю","2","18","Женский","Среднее общее(11 классов)","Московская область","Город-миллионник(более 1 млн. чел.)","Денег хватает на покупку продуктов и одежды, но покупка крупной бытовой техники вызывает затруднения."
"2025/10/16 7:01:55 PM GMT+8","Да","3","Редко","Интернет — новостные, аналитические, официальные сайты;Интернет — социальные сети, блоги;Мессенджеры","Скорее доверяю","Скорее не доверяю","Скорее не доверяю","Скорее доверяю","Полностью доверяю","Полностью доверяю","Скорее доверяю","5","18","Женский","Неоконченное высшее","Ростовская область","Город-миллионник(более 1 млн. чел.)","Денег хватает на покупку продуктов и одежды, но покупка крупной бытовой техники вызывает затруднения."
"2025/10/16 7:03:49 PM GMT+8","Да","4","Никогда","Интернет — социальные сети, блоги;Мессенджеры","Скорее не доверяю","Скорее доверяю","Не уверен(а)","Скорее доверяю","Скорее не доверяю","Скорее не доверяю","Не уверен(а)","6","16","Мужской","Среднее основное(9 классов)","Москва","Город-миллионник(более 1 млн. чел.)","Денег хватает на покупку продуктов и одежды, но покупка крупной бытовой техники вызывает затруднения."
"2025/10/16 7:10:07 PM GMT+8","Да","5","Никогда","Интернет — новостные, аналитические, официальные сайты;Интернет — социальные сети, блоги;Мессенджеры;Знакомые из сферы","Скорее не доверяю","Не уверен(а)","Не уверен(а)","Не уверен(а)","Не уверен(а)","Совершенно не доверяю","Не уверен(а)","5","18 лет","Женский","Неоконченное высшее","Москва","Город-миллионник(более 1 млн. чел.)","Денег хватает на покупку продуктов и одежды, но покупка крупной бытовой техники вызывает затруднения."
"2025/10/16 7:25:59 PM GMT+8","Да","5","Иногда","Интернет — новостные, аналитические, официальные сайты;Интернет — социальные сети, блоги","Не уверен(а)","Не уверен(а)","Не уверен(а)","Скорее доверяю","Полностью доверяю","Полностью доверяю","Полностью доверяю","5","18","Женский","Высшее(бакалавриат/специалитет)","Москва","Город-миллионник(более 1 млн. чел.)","Могу без труда приобретать крупную бытовую технику, но покупка нового легкового автомобиля затруднительна."
"2025/10/16 7:29:00 PM GMT+8","Да","5","Никогда","Интернет — новостные, аналитические, официальные сайты;Мессенджеры","Совершенно не доверяю","Скорее доверяю","Не уверен(а)","Скорее доверяю","Совершенно не доверяю","Совершенно не доверяю","Совершенно не доверяю","6","24","Женский","Высшее(магистратура)","Тюменская область","Крупный город(от 250 тыс. до 1 млн. чел)","Денег хватает на покупку продуктов и одежды, но покупка крупной бытовой техники вызывает затруднения."
"2025/10/16 7:55:58 PM GMT+8","Да","2","Никогда","Интернет — социальные сети, блоги;Мессенджеры","Не уверен(а)","Не уверен(а)","Не уверен(а)","Не уверен(а)","Не уверен(а)","Не уверен(а)","Не уверен(а)","5","16","Женский","Среднее общее(11 классов)","Новосибирская область","Город-миллионник(более 1 млн. чел.)","Могу без труда приобретать крупную бытовую технику, но покупка нового легкового автомобиля затруднительна."
"2025/10/16 8:13:06 PM GMT+8","Да","4","Редко","Интернет — новостные, аналитические, официальные сайты;Интернет — социальные сети, блоги;Мессенджеры","Не уверен(а)","Скорее не доверяю","Не уверен(а)","Скорее доверяю","Не уверен(а)","Не уверен(а)","Не уверен(а)","2","18","Мужской","Неоконченное высшее","Нижегородская область","Город-миллионник(более 1 млн. чел.)","Денег хватает на покупку продуктов и одежды, но покупка крупной бытовой техники вызывает затруднения."
"2025/10/16 8:14:42 PM GMT+8","Да","3","Никогда","Интернет — социальные сети, блоги;Мессенджеры","Совершенно не доверяю","Скорее не доверяю","Совершенно не доверяю","Скорее не доверяю","Не уверен(а)","Не уверен(а)","Не уверен(а)","4","18","Мужской","Неоконченное высшее","Москва","Город-миллионник(более 1 млн. чел.)","Денег хватает на покупку продуктов и одежды, но покупка крупной бытовой техники вызывает затруднения."
"2025/10/16 8:36:15 PM GMT+8","Да","3","Редко","Интернет — новостные, аналитические, официальные сайты;Интернет — социальные сети, блоги;Мессенджеры","Скорее не доверяю","Скорее не доверяю","Скорее не доверяю","Скорее не доверяю","Скорее доверяю","Скорее доверяю","Скорее доверяю","3","33","Мужской","Неоконченное высшее","Нижегородская область","Город-миллионник(более 1 млн. чел.)","Могу без труда приобретать крупную бытовую технику, но покупка нового легкового автомобиля затруднительна."
"2025/10/16 8:44:45 PM GMT+8","Да","5","Никогда","Интернет — новостные, аналитические, официальные сайты;Интернет — социальные сети, блоги;Мессенджеры","Совершенно не доверяю","Скорее не доверяю","Скорее не доверяю","Скорее не доверяю","Скорее не доверяю","Совершенно не доверяю","Скорее не доверяю","6","18","Мужской","Неоконченное высшее","Санкт-Петербург","Город-миллионник(более 1 млн. чел.)","На продукты денег хватает, но покупка одежды вызывает затруднения."
"2025/10/16 9:10:47 PM GMT+8","Да","2","Никогда","Интернет — новостные, аналитические, официальные сайты;Мессенджеры","Скорее не доверяю","Скорее не доверяю","Скорее не доверяю","Не уверен(а)","Не уверен(а)","Не уверен(а)","Не уверен(а)","4","17","Женский","Среднее общее(11 классов)","Москва","Город-миллионник(более 1 млн. чел.)","Могу без труда приобретать крупную бытовую технику, но покупка нового легкового автомобиля затруднительна."
"2025/10/16 10:03:19 PM GMT+8","Да","5","Никогда","Интернет — новостные, аналитические, официальные сайты;Интернет — социальные сети, блоги","Совершенно не доверяю","Не уверен(а)","Скорее доверяю","Скорее доверяю","Скорее не доверяю","Совершенно не доверяю","Совершенно не доверяю","4","18","Мужской","Среднее общее(11 классов)","Москва","Город-миллионник(более 1 млн. чел.)","Материальных затруднений не испытываю."
"2025/10/16 10:36:46 PM GMT+8","Да","3","Редко","Интернет — новостные, аналитические, официальные сайты;Интернет — социальные сети, блоги","Скорее не доверяю","Не уверен(а)","Не уверен(а)","Скорее доверяю","Скорее не доверяю","Скорее не доверяю","Скорее не доверяю","5","19","Мужской","Неоконченное высшее","Санкт-Петербург","Город-миллионник(более 1 млн. чел.)","Могу без труда приобретать крупную бытовую технику, но покупка нового легкового автомобиля затруднительна."
"2025/10/16 11:45:26 PM GMT+8","Да","5","Иногда","Интернет — новостные, аналитические, официальные сайты;Интернет — социальные сети, блоги;Мессенджеры","Скорее доверяю","Не уверен(а)","Не уверен(а)","Не уверен(а)","Скорее доверяю","Полностью доверяю","Скорее доверяю","3","16","Женский","Среднее общее(11 классов)","Москва","Город-миллионник(более 1 млн. чел.)","Хватает доходов на новый легковой автомобиль, но покупка недвижимости затруднительна."
"2025/10/17 12:08:15 AM GMT+8","Да","3","Редко","Мессенджеры","Совершенно не доверяю","Скорее доверяю","Скорее доверяю","Скорее доверяю","Не уверен(а)","Совершенно не доверяю","Скорее не доверяю","4","17","Женский","Неоконченное высшее","Ростовская область","Город-миллионник(более 1 млн. чел.)","Могу без труда приобретать крупную бытовую технику, но покупка нового легкового автомобиля затруднительна."
"2025/10/17 12:19:35 AM GMT+8","Да","3","Никогда","Интернет — новостные, аналитические, официальные сайты;Интернет — социальные сети, блоги;Мессенджеры","Скорее не доверяю","Скорее доверяю","Скорее не доверяю","Скорее не доверяю","Скорее не доверяю","Скорее доверяю","Скорее доверяю","6","18","Не скажу","Среднее общее(11 классов)","Республика Карелия","Большой город(от 100 тыс. до 250 тыс. чел.)","На продукты денег хватает, но покупка одежды вызывает затруднения."
"2025/10/17 12:25:43 AM GMT+8","Да","5","Иногда","Интернет — новостные, аналитические, официальные сайты;Интернет — социальные сети, блоги","Скорее не доверяю","Не уверен(а)","Не уверен(а)","Скорее доверяю","Не уверен(а)","Скорее доверяю","Скорее не доверяю","5","17","Мужской","Среднее основное(9 классов)","Новосибирская область","Город-миллионник(более 1 млн. чел.)","Денег хватает на покупку продуктов и одежды, но покупка крупной бытовой техники вызывает затруднения."
"2025/10/17 4:18:32 AM GMT+8","Да","5","Редко","Интернет — новостные, аналитические, официальные сайты;Интернет — социальные сети, блоги;Мессенджеры","Скорее не доверяю","Скорее доверяю","Не уверен(а)","Скорее доверяю","Не уверен(а)","Не уверен(а)","Не уверен(а)","5","17","Женский","Неоконченное высшее","Санкт-Петербург","Город-миллионник(более 1 млн. чел.)","Денег хватает на покупку продуктов и одежды, но покупка крупной бытовой техники вызывает затруднения."
"2025/10/17 4:36:18 AM GMT+8","Да","2","Иногда","Интернет — новостные, аналитические, официальные сайты","Не уверен(а)","Не уверен(а)","Не уверен(а)","Не уверен(а)","Не уверен(а)","Не уверен(а)","Не уверен(а)","5","22","Женский","Неоконченное высшее","Московская область","Город-миллионник(более 1 млн. чел.)","Денег хватает на покупку продуктов и одежды, но покупка крупной бытовой техники вызывает затруднения."
"2025/10/19 10:03:25 PM GMT+8","Да","5","Редко","Мессенджеры","Скорее не доверяю","Скорее не доверяю","Скорее не доверяю","Скорее не доверяю","Скорее не доверяю","Скорее доверяю","Совершенно не доверяю","1","42 ","Мужской","Высшее(магистратура)","Иркутская область","Крупный город(от 250 тыс. до 1 млн. чел)","Денег хватает на покупку продуктов и одежды, но покупка крупной бытовой техники вызывает затруднения."
"2025/10/19 10:09:53 PM GMT+8","Да","3","Иногда","Интернет — социальные сети, блоги;Мессенджеры","Не уверен(а)","Совершенно не доверяю","Скорее не доверяю","Скорее не доверяю","Не уверен(а)","Не уверен(а)","Не уверен(а)","4","30","Женский","Высшее(бакалавриат/специалитет)","Иркутская область","Средний город(от 50 тыс. до 100 тыс. чел.)","Денег хватает на покупку продуктов и одежды, но покупка крупной бытовой техники вызывает затруднения."
"2025/10/19 10:19:48 PM GMT+8","Да","4","Редко","Интернет — новостные, аналитические, официальные сайты;Интернет — социальные сети, блоги;Мессенджеры","Скорее доверяю","Не уверен(а)","Не уверен(а)","Не уверен(а)","Скорее доверяю","Полностью доверяю","Скорее не доверяю","4","42","Мужской","Высшее(бакалавриат/специалитет)","Иркутская область","Крупный город(от 250 тыс. до 1 млн. чел)","Денег не хватает даже на продукты, ""еле свожу концы с концами""."
"2025/10/19 10:23:42 PM GMT+8","Да","3","Редко","Мессенджеры","Совершенно не доверяю","Скорее не доверяю","Совершенно не доверяю","Совершенно не доверяю","Скорее не доверяю","Не уверен(а)","Совершенно не доверяю","4","41","Женский","Неоконченное высшее","Иркутская область","Крупный город(от 250 тыс. до 1 млн. чел)","Денег хватает на покупку продуктов и одежды, но покупка крупной бытовой техники вызывает затруднения."
"2025/10/19 10:24:08 PM GMT+8","Да","3","Никогда","Мессенджеры","Скорее не доверяю","Скорее доверяю","Скорее доверяю","Скорее доверяю","Не уверен(а)","Скорее не доверяю","Скорее не доверяю","1","26","Женский","Высшее(бакалавриат/специалитет)","Иркутская область","Крупный город(от 250 тыс. до 1 млн. чел)","На продукты денег хватает, но покупка одежды вызывает затруднения."
"2025/10/19 10:26:52 PM GMT+8","Да","3","Иногда","Интернет — новостные, аналитические, официальные сайты;Интернет — социальные сети, блоги;Мессенджеры","Скорее доверяю","Скорее доверяю","Скорее доверяю","Скорее доверяю","Скорее доверяю","Полностью доверяю","Скорее доверяю","4","29","Женский","Высшее(бакалавриат/специалитет)","Иркутская область","Средний город(от 50 тыс. до 100 тыс. чел.)","Денег хватает на покупку продуктов и одежды, но покупка крупной бытовой техники вызывает затруднения."
"2025/10/19 10:49:20 PM GMT+8","Да","3","Редко","Интернет — новостные, аналитические, официальные сайты;Интернет — социальные сети, блоги;Мессенджеры","Скорее не доверяю","Не уверен(а)","Не уверен(а)","Не уверен(а)","Скорее не доверяю","Скорее не доверяю","Скорее не доверяю","3","39","Женский","Высшее(бакалавриат/специалитет)","Иркутская область","Крупный город(от 250 тыс. до 1 млн. чел)","Денег хватает на покупку продуктов и одежды, но покупка крупной бытовой техники вызывает затруднения."
"2025/10/19 11:56:23 PM GMT+8","Да","1","Редко","Интернет — социальные сети, блоги;Мессенджеры","Скорее не доверяю","Скорее не доверяю","Скорее не доверяю","Скорее не доверяю","Не уверен(а)","Не уверен(а)","Не уверен(а)","1","29","Женский","Высшее(бакалавриат/специалитет)","Иркутская область","Средний город(от 50 тыс. до 100 тыс. чел.)","Материальных затруднений не испытываю."
"2025/10/20 12:50:35 AM GMT+8","Да","3","Редко","Телевидение;Интернет — социальные сети, блоги","Не уверен(а)","Не уверен(а)","Скорее доверяю","Скорее доверяю","Скорее доверяю","Скорее доверяю","Скорее доверяю","4","31","Женский","Высшее(бакалавриат/специалитет)","Иркутская область","Малый город(до 50 тыс. чел)","Могу без труда приобретать крупную бытовую технику, но покупка нового легкового автомобиля затруднительна."
"2025/10/20 6:02:22 AM GMT+8","Да","3","Иногда","Телевидение;Интернет — новостные, аналитические, официальные сайты","Полностью доверяю","Скорее не доверяю","Совершенно не доверяю","Не уверен(а)","Полностью доверяю","Полностью доверяю","Полностью доверяю","1","35","Женский","Среднее профессиональное","Иркутская область","Малый город(до 50 тыс. чел)","Материальных затруднений не испытываю."
"2025/10/20 6:31:36 AM GMT+8","Да","3","Редко","Интернет — новостные, аналитические, официальные сайты;Интернет — социальные сети, блоги","Скорее не доверяю","Скорее доверяю","Скорее доверяю","Скорее доверяю","Скорее не доверяю","Скорее не доверяю","Скорее не доверяю","6","19","Женский","Среднее общее(11 классов)","Иркутская область","Крупный город(от 250 тыс. до 1 млн. чел)","Денег хватает на покупку продуктов и одежды, но покупка крупной бытовой техники вызывает затруднения."
"2025/10/20 7:12:18 AM GMT+8","Да","3","Никогда","Интернет — социальные сети, блоги;Мессенджеры","Скорее доверяю","Скорее доверяю","Скорее доверяю","Скорее доверяю","Скорее доверяю","Скорее доверяю","Скорее доверяю","2","24","Женский","Высшее(бакалавриат/специалитет)","Иркутская область","Средний город(от 50 тыс. до 100 тыс. чел.)","На продукты денег хватает, но покупка одежды вызывает затруднения."
