Отметка времени,Вы даете информированное согласие на участие в эксперименте и сбор данных в анонимном и обобщенном виде?,Проявляете ли вы интерес к политике?,Просматриваете ли вы федеральное ТВ?,"Пожалуйста, укажите основные источники медиа-контента, из которых вы потребляете новости.","Оцените по шкале от 1 до 5, насколько вы доверяете (1 – совершенно не доверяю, 5 – полностью доверяю) следующим средствам массовой информации: [Федеральным телеканалам]","Оцените по шкале от 1 до 5, насколько вы доверяете (1 – совершенно не доверяю, 5 – полностью доверяю) следующим средствам массовой информации: [Telegram-каналам]","Оцените по шкале от 1 до 5, насколько вы доверяете (1 – совершенно не доверяю, 5 – полностью доверяю) следующим средствам массовой информации: [Социальным сетям и блогам в интернете]","Оцените по шкале от 1 до 5, насколько вы доверяете (1 – совершенно не доверяю, 5 – полностью доверяю) следующим средствам массовой информации: [Новостные сайты]","Оцените по шкале от 1 до 5, насколько вы доверяете (1 – совершенно не доверяю, 5 – полностью доверяю) [Правительство РФ]","Оцените по шкале от 1 до 5, насколько вы доверяете (1 – совершенно не доверяю, 5 – полностью доверяю) [Президент РФ]","Оцените по шкале от 1 до 5, насколько вы доверяете (1 – совершенно не доверяю, 5 – полностью доверяю) [Парламент РФ]",Доверяете ли вы данной статье?,"Пожалуйста, укажите ваш возраст.","Пожалуйста, укажите ваш пол.","Пожалуйста, укажите уровень вашего образования.","Пожалуйста, укажите субъект РФ, в котором вы проживаете.","Пожалуйста, укажите размер населённого пункта, в котором вы проживаете.","Пожалуйста, укажите ваш доход. Это необходимо только для статистики.",Treatment
10/16/2025 15:51:00,Да,5,Редко,"Интернет — новостные, аналитические, официальные сайты, Интернет — социальные сети, блоги, Мессенджеры",Совершенно не доверяю,Скорее не доверяю,Скорее не доверяю,Совершенно не доверяю,Совершенно не доверяю,Совершенно не доверяю,Совершенно не доверяю,5,18,Женский,Среднее общее(11 классов),Краснодарский край,Город-миллионник(более 1 млн. чел.),"Денег хватает на покупку продуктов и одежды, но покупка крупной бытовой техники вызывает затруднения.",0
10/16/2025 15:51:03,Да,1,Редко,"Телевидение, Интернет — социальные сети, блоги",Скорее не доверяю,Не уверен(а),Не уверен(а),Совершенно не доверяю,Не уверен(а),Не уверен(а),Не уверен(а),5,18,Женский,Высшее(бакалавриат/специалитет),Москва,Город-миллионник(более 1 млн. чел.),Материальных затруднений не испытываю.,0
10/16/2025 15:53:36,Нет,,,,,,,,,,,,,,,,,,0
10/16/2025 15:55:28,Да,5,Редко,"Интернет — новостные, аналитические, официальные сайты, Интернет — социальные сети, блоги, Мессенджеры",Совершенно не доверяю,Не уверен(а),Не уверен(а),Не уверен(а),Скорее не доверяю,Скорее не доверяю,Совершенно не доверяю,4,44,Мужской,Высшее(бакалавриат/специалитет),Новосибирская область,Город-миллионник(более 1 млн. чел.),"Могу без труда приобретать крупную бытовую технику, но покупка нового легкового автомобиля затруднительна.",0
10/16/2025 15:55:59,Да,3,Иногда,"Интернет — новостные, аналитические, официальные сайты, Интернет — социальные сети, блоги",Не уверен(а),Скорее доверяю,Скорее доверяю,Совершенно не доверяю,Совершенно не доверяю,Совершенно не доверяю,Совершенно не доверяю,2,17,Женский,Среднее общее(11 классов),Саратовская область,Крупный город(от 250 тыс. до 1 млн. чел),"Денег хватает на покупку продуктов и одежды, но покупка крупной бытовой техники вызывает затруднения.",0
10/16/2025 16:00:05,Да,5,Никогда,"Интернет — новостные, аналитические, официальные сайты, Мессенджеры",Совершенно не доверяю,Скорее доверяю,Не уверен(а),Скорее доверяю,Совершенно не доверяю,Совершенно не доверяю,Совершенно не доверяю,1,18 лет ,Мужской,Неоконченное высшее,Архангельская область,Крупный город(от 250 тыс. до 1 млн. чел),"Могу без труда приобретать крупную бытовую технику, но покупка нового легкового автомобиля затруднительна.",0
10/16/2025 16:00:41,Да,5,Редко,"Интернет — новостные, аналитические, официальные сайты, Интернет — социальные сети, блоги, Мессенджеры",Совершенно не доверяю,Полностью доверяю,Не уверен(а),Скорее доверяю,Совершенно не доверяю,Совершенно не доверяю,Совершенно не доверяю,3,17,Женский,Среднее общее(11 классов),Москва,Город-миллионник(более 1 млн. чел.),"Денег хватает на покупку продуктов и одежды, но покупка крупной бытовой техники вызывает затруднения.",0
10/16/2025 16:24:22,Да,5,Никогда,"Интернет — новостные, аналитические, официальные сайты, Интернет — социальные сети, блоги",Совершенно не доверяю,Скорее доверяю,Совершенно не доверяю,Совершенно не доверяю,Совершенно не доверяю,Совершенно не доверяю,Совершенно не доверяю,2,18,Мужской,Неоконченное высшее,Москва,Город-миллионник(более 1 млн. чел.),"Денег хватает на покупку продуктов и одежды, но покупка крупной бытовой техники вызывает затруднения.",0
10/16/2025 16:39:37,Да,4,Никогда,"Интернет — новостные, аналитические, официальные сайты, Интернет — социальные сети, блоги, Мессенджеры",Совершенно не доверяю,Скорее доверяю,Совершенно не доверяю,Скорее не доверяю,Скорее не доверяю,Совершенно не доверяю,Скорее не доверяю,5,18,Женский,Среднее общее(11 классов),Московская область,Город-миллионник(более 1 млн. чел.),"Денег хватает на покупку продуктов и одежды, но покупка крупной бытовой техники вызывает затруднения.",0
10/16/2025 16:41:15,Да,5,Часто,"Телевидение, Интернет — новостные, аналитические, официальные сайты, Интернет — социальные сети, блоги, Мессенджеры",Полностью доверяю,Полностью доверяю,Полностью доверяю,Полностью доверяю,Полностью доверяю,Полностью доверяю,Полностью доверяю,7,18,Женский,Неоконченное высшее,Москва,Город-миллионник(более 1 млн. чел.),Материальных затруднений не испытываю.,0
10/16/2025 17:03:00,Да,4,Никогда,"Интернет — новостные, аналитические, официальные сайты, Интернет — социальные сети, блоги, Мессенджеры",Скорее не доверяю,Скорее доверяю,Скорее доверяю,Скорее доверяю,Скорее не доверяю,Совершенно не доверяю,Скорее не доверяю,5,16,Женский,Среднее основное(9 классов),Москва,Город-миллионник(более 1 млн. чел.),"Денег хватает на покупку продуктов и одежды, но покупка крупной бытовой техники вызывает затруднения.",0
10/16/2025 17:44:45,Да,5,Никогда,"Интернет — социальные сети, блоги",Совершенно не доверяю,Скорее доверяю,Скорее доверяю,Скорее не доверяю,Совершенно не доверяю,Совершенно не доверяю,Совершенно не доверяю,7,17,Мужской,Неоконченное высшее,Ростовская область,Город-миллионник(более 1 млн. чел.),Материальных затруднений не испытываю.,0
10/16/2025 17:47:26,Да,5,Иногда,"Телевидение, Интернет — новостные, аналитические, официальные сайты, Интернет — социальные сети, блоги",Скорее доверяю,Скорее доверяю,Не уверен(а),Не уверен(а),Полностью доверяю,Полностью доверяю,Полностью доверяю,7,17,Женский,Высшее(бакалавриат/специалитет),Ростовская область,Город-миллионник(более 1 млн. чел.),"На продукты денег хватает, но покупка одежды вызывает затруднения.",0
10/16/2025 17:50:10,Да,3,Никогда,"Интернет — социальные сети, блоги, Мессенджеры",Скорее доверяю,Скорее доверяю,Скорее доверяю,Не уверен(а),Полностью доверяю,Полностью доверяю,Полностью доверяю,5,18,Мужской,Высшее(бакалавриат/специалитет),Ростовская область,Город-миллионник(более 1 млн. чел.),"На продукты денег хватает, но покупка одежды вызывает затруднения.",0
10/16/2025 17:55:17,Да,2,Редко,"Интернет — социальные сети, блоги",Не уверен(а),Скорее не доверяю,Скорее не доверяю,Скорее не доверяю,Не уверен(а),Не уверен(а),Не уверен(а),4,18,Женский,Высшее(бакалавриат/специалитет),Краснодарский край,"Сельский населенный пункт(Деревня, поселок, село, станица и т.д.)","Денег хватает на покупку продуктов и одежды, но покупка крупной бытовой техники вызывает затруднения.",0
10/16/2025 17:56:13,Да,5,Никогда,"Интернет — новостные, аналитические, официальные сайты, Интернет — социальные сети, блоги",Совершенно не доверяю,Не уверен(а),Скорее доверяю,Скорее не доверяю,Совершенно не доверяю,Совершенно не доверяю,Совершенно не доверяю,3,16,Мужской,Среднее общее(11 классов),Волгоградская область,Город-миллионник(более 1 млн. чел.),"Денег хватает на покупку продуктов и одежды, но покупка крупной бытовой техники вызывает затруднения.",0
10/16/2025 17:58:43,Да,4,Редко,"Интернет — социальные сети, блоги, Мессенджеры",Не уверен(а),Скорее доверяю,Не уверен(а),Скорее не доверяю,Полностью доверяю,Полностью доверяю,Полностью доверяю,4,18,Женский,Среднее общее(11 классов),Ростовская область,Город-миллионник(более 1 млн. чел.),"На продукты денег хватает, но покупка одежды вызывает затруднения.",0
10/16/2025 19:02:24,Да,4,Никогда,"Интернет — социальные сети, блоги",Совершенно не доверяю,Скорее не доверяю,Скорее не доверяю,Скорее не доверяю,Совершенно не доверяю,Совершенно не доверяю,Совершенно не доверяю,3,23,Женский,Среднее общее(11 классов),Московская область,Город-миллионник(более 1 млн. чел.),"На продукты денег хватает, но покупка одежды вызывает затруднения.",0
10/16/2025 19:03:25,Да,5,Никогда,"Интернет — новостные, аналитические, официальные сайты, Интернет — социальные сети, блоги, Мессенджеры",Скорее не доверяю,Не уверен(а),Скорее не доверяю,Не уверен(а),Скорее не доверяю,Скорее не доверяю,Скорее не доверяю,3,18,Мужской,Высшее(бакалавриат/специалитет),Свердловская область,Крупный город(от 250 тыс. до 1 млн. чел),"На продукты денег хватает, но покупка одежды вызывает затруднения.",0
10/16/2025 19:35:42,Да,5,Иногда,"Интернет — новостные, аналитические, официальные сайты, Интернет — социальные сети, блоги, Мессенджеры",Не уверен(а),Не уверен(а),Не уверен(а),Не уверен(а),Скорее доверяю,Скорее доверяю,Скорее доверяю,5,18,Женский,Среднее общее(11 классов),Брянская область,Крупный город(от 250 тыс. до 1 млн. чел),"Денег хватает на покупку продуктов и одежды, но покупка крупной бытовой техники вызывает затруднения.",0
10/16/2025 19:42:02,Да,5,Иногда,"Интернет — новостные, аналитические, официальные сайты, Интернет — социальные сети, блоги",Скорее не доверяю,Скорее доверяю,Скорее доверяю,Не уверен(а),Не уверен(а),Не уверен(а),Не уверен(а),3,16,Женский,Среднее общее(11 классов),Самарская область,Город-миллионник(более 1 млн. чел.),"Могу без труда приобретать крупную бытовую технику, но покупка нового легкового автомобиля затруднительна.",0
10/16/2025 21:29:26,Да,5,Часто,"Телевидение, Интернет — новостные, аналитические, официальные сайты, Интернет — социальные сети, блоги, Мессенджеры",Скорее не доверяю,Совершенно не доверяю,Совершенно не доверяю,Совершенно не доверяю,Скорее не доверяю,Скорее не доверяю,Скорее не доверяю,1,15,Мужской,Среднее основное(9 классов),Омская область,Поселок городского типа,"Денег хватает на покупку продуктов и одежды, но покупка крупной бытовой техники вызывает затруднения.",0
10/16/2025 22:01:23,Да,5,Иногда,"Телевидение, Интернет — новостные, аналитические, официальные сайты, Мессенджеры",Скорее доверяю,Полностью доверяю,Скорее не доверяю,Полностью доверяю,Не уверен(а),Скорее доверяю,Скорее доверяю,5,17,Женский,Среднее основное(9 классов),Москва,Город-миллионник(более 1 млн. чел.),Материальных затруднений не испытываю.,0
10/16/2025 22:20:32,Да,5,Редко,"Интернет — новостные, аналитические, официальные сайты, Интернет — социальные сети, блоги, Мессенджеры",Скорее не доверяю,Скорее доверяю,Скорее доверяю,Скорее доверяю,Скорее доверяю,Скорее доверяю,Скорее доверяю,5,17,Мужской,Среднее общее(11 классов),Московская область,Средний город(от 50 тыс. до 100 тыс. чел.),"Могу без труда приобретать крупную бытовую технику, но покупка нового легкового автомобиля затруднительна.",0
10/16/2025 22:45:36,Да,2,Редко,"Интернет — социальные сети, блоги",Не уверен(а),Не уверен(а),Не уверен(а),Не уверен(а),Не уверен(а),Не уверен(а),Не уверен(а),4,17,Женский,Среднее общее(11 классов),Ростовская область,Большой город(от 100 тыс. до 250 тыс. чел.),"На продукты денег хватает, но покупка одежды вызывает затруднения.",0
10/16/2025 23:52:11,Да,3,Иногда,"Телевидение, Интернет — новостные, аналитические, официальные сайты, Интернет — социальные сети, блоги",Не уверен(а),Скорее доверяю,Скорее не доверяю,Скорее не доверяю,Скорее доверяю,Скорее доверяю,Скорее доверяю,5,14,Женский,Среднее основное(9 классов),Нижегородская область,Город-миллионник(более 1 млн. чел.),"Могу без труда приобретать крупную бытовую технику, но покупка нового легкового автомобиля затруднительна.",0
10/17/2025 0:20:11,Да,4,Никогда,"Интернет — новостные, аналитические, официальные сайты, Интернет — социальные сети, блоги, Мессенджеры",Совершенно не доверяю,Скорее доверяю,Не уверен(а),Скорее доверяю,Совершенно не доверяю,Совершенно не доверяю,Скорее не доверяю,3,17,Женский,Среднее основное(9 классов),Вологодская область,Крупный город(от 250 тыс. до 1 млн. чел),"На продукты денег хватает, но покупка одежды вызывает затруднения.",0
10/17/2025 0:43:24,Да,5,Никогда,"Интернет — новостные, аналитические, официальные сайты, Интернет — социальные сети, блоги",Совершенно не доверяю,Не уверен(а),Не уверен(а),Совершенно не доверяю,Совершенно не доверяю,Совершенно не доверяю,Совершенно не доверяю,1,17,Мужской,Среднее основное(9 классов),Свердловская область,Большой город(от 100 тыс. до 250 тыс. чел.),Материальных затруднений не испытываю.,0
10/17/2025 1:08:30,Да,5,Редко,"Интернет — новостные, аналитические, официальные сайты, Интернет — социальные сети, блоги, Мессенджеры",Скорее не доверяю,Скорее доверяю,Не уверен(а),Не уверен(а),Скорее доверяю,Скорее не доверяю,Скорее не доверяю,7,17,Мужской,Среднее общее(11 классов),Ленинградская область,Малый город(до 50 тыс. чел),Материальных затруднений не испытываю.,0
10/17/2025 2:57:38,Да,3,Иногда,"Телевидение, Интернет — социальные сети, блоги, Мессенджеры",Скорее доверяю,Не уверен(а),Не уверен(а),Не уверен(а),Полностью доверяю,Полностью доверяю,Полностью доверяю,5,17,Женский,Среднее основное(9 классов),Ленинградская область,Средний город(от 50 тыс. до 100 тыс. чел.),"Могу без труда приобретать крупную бытовую технику, но покупка нового легкового автомобиля затруднительна.",0
10/17/2025 15:59:53,Да,4,Редко,"Интернет — социальные сети, блоги, Мессенджеры",Совершенно не доверяю,Не уверен(а),Скорее не доверяю,Не уверен(а),Скорее не доверяю,Совершенно не доверяю,Совершенно не доверяю,4,18,Мужской,Среднее общее(11 классов),Москва,Город-миллионник(более 1 млн. чел.),"Хватает доходов на новый легковой автомобиль, но покупка недвижимости затруднительна.",0
10/17/2025 19:40:09,Да,3,Никогда,Мессенджеры,Не уверен(а),Скорее доверяю,Не уверен(а),Скорее доверяю,Не уверен(а),Не уверен(а),Не уверен(а),4,19,Женский,Неоконченное высшее,Москва,Город-миллионник(более 1 млн. чел.),Материальных затруднений не испытываю.,0
10/17/2025 20:01:58,Да,4,Никогда,"Интернет — новостные, аналитические, официальные сайты, Интернет — социальные сети, блоги",Скорее не доверяю,Скорее доверяю,Скорее доверяю,Не уверен(а),Скорее доверяю,Скорее доверяю,Скорее не доверяю,7,17,Женский,Среднее общее(11 классов),Москва,Город-миллионник(более 1 млн. чел.),"Могу без труда приобретать крупную бытовую технику, но покупка нового легкового автомобиля затруднительна.",0
10/17/2025 20:18:35,Да,5,Никогда,"Интернет — новостные, аналитические, официальные сайты, Интернет — социальные сети, блоги, Мессенджеры",Совершенно не доверяю,Не уверен(а),Не уверен(а),Не уверен(а),Совершенно не доверяю,Совершенно не доверяю,Совершенно не доверяю,5,18,Женский,Неоконченное высшее,Москва,Город-миллионник(более 1 млн. чел.),Материальных затруднений не испытываю.,0
10/18/2025 4:01:52,Да,5,Часто,"Телевидение, Интернет — новостные, аналитические, официальные сайты, Мессенджеры",Скорее доверяю,Не уверен(а),Скорее доверяю,Скорее не доверяю,Скорее не доверяю,Скорее доверяю,Совершенно не доверяю,5,17,Мужской,Среднее общее(11 классов),Саратовская область,Крупный город(от 250 тыс. до 1 млн. чел),Материальных затруднений не испытываю.,0
10/18/2025 23:24:07,Да,5,Никогда,"Интернет — социальные сети, блоги",Совершенно не доверяю,Скорее доверяю,Скорее доверяю,Совершенно не доверяю,Совершенно не доверяю,Совершенно не доверяю,Совершенно не доверяю,2,17,Не скажу,Среднее общее(11 классов),Москва,Другое,"Денег хватает на покупку продуктов и одежды, но покупка крупной бытовой техники вызывает затруднения.",0
10/19/2025 22:13:52,Да,2,Иногда,"Интернет — новостные, аналитические, официальные сайты, Интернет — социальные сети, блоги",Скорее не доверяю,Скорее не доверяю,Скорее не доверяю,Скорее не доверяю,Не уверен(а),Не уверен(а),Не уверен(а),2,28,Женский,Высшее(бакалавриат/специалитет),Иркутская область,Крупный город(от 250 тыс. до 1 млн. чел),"Денег хватает на покупку продуктов и одежды, но покупка крупной бытовой техники вызывает затруднения.",0
10/19/2025 22:14:51,Да,4,Никогда,"Интернет — новостные, аналитические, официальные сайты, Мессенджеры",Не уверен(а),Скорее доверяю,Не уверен(а),Не уверен(а),Скорее доверяю,Полностью доверяю,Скорее доверяю,6,42,Мужской,Неоконченное высшее,Иркутская область,Крупный город(от 250 тыс. до 1 млн. чел),"Денег хватает на покупку продуктов и одежды, но покупка крупной бытовой техники вызывает затруднения.",0
10/19/2025 22:15:49,Да,4,Иногда,"Интернет — новостные, аналитические, официальные сайты",Скорее не доверяю,Скорее не доверяю,Скорее не доверяю,Скорее не доверяю,Скорее не доверяю,Скорее не доверяю,Скорее не доверяю,4,43,Мужской,Высшее(магистратура),Иркутская область,Крупный город(от 250 тыс. до 1 млн. чел),"Могу без труда приобретать крупную бытовую технику, но покупка нового легкового автомобиля затруднительна.",0
10/19/2025 22:28:25,Да,1,Никогда,"Интернет — новостные, аналитические, официальные сайты, Мессенджеры",Не уверен(а),Скорее доверяю,Скорее не доверяю,Совершенно не доверяю,Не уверен(а),Скорее доверяю,Не уверен(а),5,40,Женский,Высшее(бакалавриат/специалитет),Иркутская область,Крупный город(от 250 тыс. до 1 млн. чел),"Могу без труда приобретать крупную бытовую технику, но покупка нового легкового автомобиля затруднительна.",0
10/19/2025 22:44:04,Да,2,Никогда,"Интернет — новостные, аналитические, официальные сайты",Не уверен(а),Скорее доверяю,Не уверен(а),Не уверен(а),Скорее доверяю,Скорее доверяю,Скорее доверяю,1,36,Женский,Высшее(бакалавриат/специалитет),Иркутская область,Крупный город(от 250 тыс. до 1 млн. чел),"Денег хватает на покупку продуктов и одежды, но покупка крупной бытовой техники вызывает затруднения.",0
10/19/2025 22:55:58,Да,5,Часто,"Телевидение, Интернет — новостные, аналитические, официальные сайты, Интернет — социальные сети, блоги, Мессенджеры",Скорее доверяю,Скорее доверяю,Скорее доверяю,Скорее доверяю,Скорее доверяю,Скорее доверяю,Скорее доверяю,5,44,Мужской,Высшее(бакалавриат/специалитет),Иркутская область,Крупный город(от 250 тыс. до 1 млн. чел),"Денег хватает на покупку продуктов и одежды, но покупка крупной бытовой техники вызывает затруднения.",0
10/19/2025 23:49:43,Да,1,Никогда,"Интернет — новостные, аналитические, официальные сайты, Интернет — социальные сети, блоги",Совершенно не доверяю,Не уверен(а),Не уверен(а),Не уверен(а),Полностью доверяю,Полностью доверяю,Скорее доверяю,4,29,Женский,Высшее(магистратура),Иркутская область,Малый город(до 50 тыс. чел),"Могу без труда приобретать крупную бытовую технику, но покупка нового легкового автомобиля затруднительна.",0
10/19/2025 23:55:36,Да,2,Редко,"Интернет — социальные сети, блоги, Мессенджеры",Скорее не доверяю,Скорее не доверяю,Скорее не доверяю,Скорее не доверяю,Скорее доверяю,Скорее доверяю,Скорее доверяю,6,31,Женский,Высшее(бакалавриат/специалитет),Иркутская область,Средний город(от 50 тыс. до 100 тыс. чел.),"Могу без труда приобретать крупную бытовую технику, но покупка нового легкового автомобиля затруднительна.",0
10/19/2025 23:56:24,Да,1,Редко,"Интернет — социальные сети, блоги",Совершенно не доверяю,Совершенно не доверяю,Совершенно не доверяю,Совершенно не доверяю,Совершенно не доверяю,Совершенно не доверяю,Совершенно не доверяю,3,31,Женский,Высшее(бакалавриат/специалитет),Иркутская область,Средний город(от 50 тыс. до 100 тыс. чел.),"На продукты денег хватает, но покупка одежды вызывает затруднения.",0
10/20/2025 0:00:09,Да,4,Редко,"Интернет — социальные сети, блоги, Мессенджеры",Не уверен(а),Скорее доверяю,Скорее доверяю,Скорее доверяю,Скорее доверяю,Скорее доверяю,Полностью доверяю,4,18,Женский,Среднее общее(11 классов),Иркутская область,Крупный город(от 250 тыс. до 1 млн. чел),"На продукты денег хватает, но покупка одежды вызывает затруднения.",0
10/20/2025 0:02:14,Да,5,Иногда,"Телевидение, Интернет — новостные, аналитические, официальные сайты, Интернет — социальные сети, блоги, Мессенджеры",Не уверен(а),Не уверен(а),Не уверен(а),Не уверен(а),Скорее доверяю,Скорее доверяю,Скорее доверяю,5,37,Женский,Высшее(бакалавриат/специалитет),Иркутская область,Средний город(от 50 тыс. до 100 тыс. чел.),"Денег хватает на покупку продуктов и одежды, но покупка крупной бытовой техники вызывает затруднения.",0
10/20/2025 0:21:23,Да,2,Редко,"Телевидение, Интернет — социальные сети, блоги, Мессенджеры",Скорее доверяю,Совершенно не доверяю,Совершенно не доверяю,Совершенно не доверяю,Полностью доверяю,Полностью доверяю,Полностью доверяю,5,18,Женский,Среднее общее(11 классов),Иркутская область,Малый город(до 50 тыс. чел),"Денег хватает на покупку продуктов и одежды, но покупка крупной бытовой техники вызывает затруднения.",0
10/20/2025 0:23:36,Да,2,Редко,"Интернет — социальные сети, блоги, Мессенджеры",Не уверен(а),Не уверен(а),Не уверен(а),Не уверен(а),Не уверен(а),Не уверен(а),Не уверен(а),3,21,Женский,Среднее профессиональное,Иркутская область,Средний город(от 50 тыс. до 100 тыс. чел.),"Денег хватает на покупку продуктов и одежды, но покупка крупной бытовой техники вызывает затруднения.",0
10/20/2025 1:44:50,Да,1,Редко,"Интернет — социальные сети, блоги, Мессенджеры",Скорее не доверяю,Не уверен(а),Не уверен(а),Не уверен(а),Скорее не доверяю,Скорее не доверяю,Скорее не доверяю,4,29,Женский,Высшее(бакалавриат/специалитет),Иркутская область,Средний город(от 50 тыс. до 100 тыс. чел.),"Денег хватает на покупку продуктов и одежды, но покупка крупной бытовой техники вызывает затруднения.",0
10/20/2025 3:43:06,Да,4,Редко,"Интернет — новостные, аналитические, официальные сайты, Интернет — социальные сети, блоги, Мессенджеры",Не уверен(а),Скорее доверяю,Не уверен(а),Скорее доверяю,Не уверен(а),Не уверен(а),Скорее не доверяю,5,45,Женский,Высшее(бакалавриат/специалитет),Иркутская область,Крупный город(от 250 тыс. до 1 млн. чел),"Денег хватает на покупку продуктов и одежды, но покупка крупной бытовой техники вызывает затруднения.",0
10/20/2025 6:02:47,Да,3,Никогда,"Интернет — новостные, аналитические, официальные сайты, Интернет — социальные сети, блоги",Скорее доверяю,Скорее доверяю,Скорее доверяю,Скорее не доверяю,Скорее не доверяю,Скорее не доверяю,Скорее не доверяю,5,29,Женский,Высшее(бакалавриат/специалитет),Иркутская область,Крупный город(от 250 тыс. до 1 млн. чел),"Могу без труда приобретать крупную бытовую технику, но покупка нового легкового автомобиля затруднительна.",0
10/20/2025 7:06:24,Да,4,Иногда,Телевидение,Скорее доверяю,Скорее не доверяю,Скорее не доверяю,Скорее не доверяю,Скорее доверяю,Скорее доверяю,Скорее доверяю,6,43,Женский,Высшее(бакалавриат/специалитет),Иркутская область,Малый город(до 50 тыс. чел),Материальных затруднений не испытываю.,0
10/20/2025 8:09:48,Да,4,Иногда,"Интернет — новостные, аналитические, официальные сайты",Скорее доверяю,Не уверен(а),Скорее не доверяю,Совершенно не доверяю,Полностью доверяю,Полностью доверяю,Полностью доверяю,4,22,Женский,Высшее(бакалавриат/специалитет),Иркутская область,Крупный город(от 250 тыс. до 1 млн. чел),"Могу без труда приобретать крупную бытовую технику, но покупка нового легкового автомобиля затруднительна.",0
10/20/2025 8:56:14,Да,3,Иногда,"Интернет — новостные, аналитические, официальные сайты",Не уверен(а),Не уверен(а),Скорее не доверяю,Скорее не доверяю,Скорее не доверяю,Не уверен(а),Скорее не доверяю,4,49,Женский,Высшее(бакалавриат/специалитет),Иркутская область,Малый город(до 50 тыс. чел),"На продукты денег хватает, но покупка одежды вызывает затруднения.",0
10/20/2025 15:31:09,Да,5,Часто,"Телевидение, Интернет — новостные, аналитические, официальные сайты",Скорее доверяю,Не уверен(а),Не уверен(а),Не уверен(а),Скорее доверяю,Скорее доверяю,Скорее доверяю,6,59,Женский,Высшее(магистратура),Иркутская область,"Сельский населенный пункт(Деревня, поселок, село, станица и т.д.)","Денег хватает на покупку продуктов и одежды, но покупка крупной бытовой техники вызывает затруднения.",0
10/21/2025 5:55:10,Да,3,Редко,"Интернет — социальные сети, блоги, Мессенджеры",Скорее доверяю,Не уверен(а),Скорее не доверяю,Скорее не доверяю,Не уверен(а),Не уверен(а),Не уверен(а),5,16,Женский,Среднее основное(9 классов),Республика Татарстан,Город-миллионник(более 1 млн. чел.),"Хватает доходов на новый легковой автомобиль, но покупка недвижимости затруднительна.",0
10/22/2025 18:24:08,Да,3,Никогда,"Интернет — новостные, аналитические, официальные сайты",Совершенно не доверяю,Не уверен(а),Не уверен(а),Не уверен(а),Не уверен(а),Скорее доверяю,Скорее не доверяю,2,36,Женский,Высшее(бакалавриат/специалитет),Амурская область,Средний город(от 50 тыс. до 100 тыс. чел.),"Денег хватает на покупку продуктов и одежды, но покупка крупной бытовой техники вызывает затруднения.",0
10/22/2025 18:45:03,Да,5,Иногда,"Интернет — новостные, аналитические, официальные сайты, Интернет — социальные сети, блоги",Совершенно не доверяю,Скорее не доверяю,Скорее не доверяю,Скорее не доверяю,Совершенно не доверяю,Совершенно не доверяю,Совершенно не доверяю,1,28,Мужской,Высшее(магистратура),Иркутская область,Крупный город(от 250 тыс. до 1 млн. чел),"Могу без труда приобретать крупную бытовую технику, но покупка нового легкового автомобиля затруднительна.",0
10/22/2025 18:50:30,Да,4,Часто,"Телевидение, Интернет — социальные сети, блоги",Скорее доверяю,Не уверен(а),Не уверен(а),Не уверен(а),Скорее доверяю,Скорее доверяю,Скорее доверяю,3,65,Женский,Среднее профессиональное,Иркутская область,Средний город(от 50 тыс. до 100 тыс. чел.),"Денег хватает на покупку продуктов и одежды, но покупка крупной бытовой техники вызывает затруднения.",0
10/22/2025 21:09:40,Да,2,Редко,"Интернет — социальные сети, блоги, Мессенджеры",Скорее доверяю,Не уверен(а),Не уверен(а),Скорее доверяю,Полностью доверяю,Полностью доверяю,Полностью доверяю,7,14,Женский,Среднее основное(9 классов),Иркутская область,Средний город(от 50 тыс. до 100 тыс. чел.),"Денег хватает на покупку продуктов и одежды, но покупка крупной бытовой техники вызывает затруднения.",0
10/22/2025 22:16:48,Да,4,Часто,"Телевидение, Интернет — новостные, аналитические, официальные сайты, Интернет — социальные сети, блоги",Скорее доверяю,Не уверен(а),Скорее не доверяю,Совершенно не доверяю,Скорее доверяю,Скорее доверяю,Скорее доверяю,6,18,Женский,Высшее(бакалавриат/специалитет),Свердловская область,Город-миллионник(более 1 млн. чел.),"Денег хватает на покупку продуктов и одежды, но покупка крупной бытовой техники вызывает затруднения.",0
